Año;Periodo;Precio del gasóleo
2013;Semana 6;1,38
2013;Semana 7;1,39
2013;Semana 8;1,41
2013;Semana 9;1,41
2013;Semana 10;1,4
2013;Semana 11;1,38
2013;Semana 12;1,37
2013;Semana 13;1,36
2013;Semana 15;1,37
2013;Semana 16;1,34
2013;Semana 17;1,31
2013;Semana 18;1,31
2013;Semana 19;1,3
2013;Semana 20;1,32
2013;Semana 21;1,33
2013;Semana 22;1,35
2013;Semana 23;1,34
2013;Semana 24;1,33
2013;Semana 25;1,33
2013;Semana 26;1,33
2013;Semana 27;1,33
2013;Semana 28;1,34
2013;Semana 29;1,36
2013;Semana 30;1,37
2013;Semana 31;1,38
2013;Semana 32;1,36
2013;Semana 33;1,36
2013;Semana 34;1,36
2013;Semana 35;1,37
2013;Semana 36;1,38
2013;Semana 37;1,4
2013;Semana 38;1,4
2013;Semana 39;1,38
2013;Semana 40;1,36
2013;Semana 41;1,36
2013;Semana 42;1,36
2013;Semana 43;1,36
2013;Semana 44;1,35
2013;Semana 45;1,34
2013;Semana 46;1,34
2013;Semana 47;1,34
2013;Semana 48;1,34
2013;Semana 49;1,36
2013;Semana 50;1,36
2013;Semana 51;1,35
2014;Semana 2;1,36
2014;Semana 3;1,34
2014;Semana 4;1,34
2014;Semana 5;1,34
2014;Semana 6;1,34
2014;Semana 7;1,34
2014;Semana 8;1,34
2014;Semana 9;1,34
2014;Semana 10;1,34
2014;Semana 11;1,34
2014;Semana 12;1,32
2014;Semana 13;1,31
2014;Semana 14;1,32
2014;Semana 15;1,32
2014;Semana 16;1,32
2014;Semana 18;1,33
2014;Semana 19;1,33
2014;Semana 20;1,31
2014;Semana 21;1,32
2014;Semana 22;1,33
2014;Semana 23;1,33
2014;Semana 24;1,32
2014;Semana 25;1,32
2014;Semana 26;1,34
2014;Semana 27;1,35
2014;Semana 28;1,34
2014;Semana 29;1,33
2014;Semana 30;1,32
2014;Semana 31;1,32
2014;Semana 32;1,32
2014;Semana 33;1,32
2014;Semana 34;1,33
2014;Semana 35;1,32
2014;Semana 36;1,32
2014;Semana 37;1,33
2014;Semana 38;1,33
