Marca;MARCA;MODELO;Ventas total;Precio;range km;tiempo;kWh;eficiencia Wh/km;cargarapida km/h;velocidadmax km/h;Segment_num;marketsegment;personas;towingcapacity;motor;url
7;MERCEDES;EQB 250;2647;56408;345;9.2;66.5;193;500;160;3;C;4;1134;Battery Electric Vehicle ;https://ev-database.org/car/1664/7-EQB-250
22;OPEL;COMBO-E LIFE XL 50 KWH;2141;42400;195;11.7;45.0;231;310;135;7;N;7;750;Battery Electric Vehicle ;https://ev-database.org/car/1545/22-Combo-e-Life-XL-50-kWh
7;MERCEDES;EVITO TOURER LONG 90 KWH;2647;71741;310;12.0;90.0;290;310;160;7;N;4;1134;Battery Electric Vehicle ;https://ev-database.org/car/1615/7-eVito-Tourer-Long-90-kWh
32;SMART;EQ FORTWO CABRIO;6277;27541;95;11.9;16.7;176;230;130;1;A;4;1134;Battery Electric Vehicle ;https://ev-database.org/car/1231/32-EQ-fortwo-cabrio
7;MERCEDES;EVITO TOURER LONG 60 KWH;2647;60678;210;12.0;60.0;286;310;160;7;N;4;1134;Battery Electric Vehicle ;https://ev-database.org/car/1617/7-eVito-Tourer-Long-60-kWh
30;CITROEN;E-SPACETOURER M 50 KWH;2563;53610;180;12.1;45.0;250;290;130;7;N;9;1000;Battery Electric Vehicle ;https://ev-database.org/car/1341/30-e-SpaceTourer-M-50-kWh
30;CITROEN;E-BERLINGO XL 50 KWH;2563;44920;195;11.7;45.0;231;310;135;7;N;7;750;Battery Electric Vehicle ;https://ev-database.org/car/1547/30-e-Berlingo-XL-50-kWh
15;PEUGEOT;E-TRAVELLER LONG 75 KWH;5323;63962;260;14.3;68.0;262;280;130;7;N;9;1000;Battery Electric Vehicle ;https://ev-database.org/car/1354/15-e-Traveller-Long-75-kWh
29;PORSCHE;TAYCAN GTS SPORT TURISMO;636;137300;425;3.7;83.7;197;930;250;6;F;4;1134;Battery Electric Vehicle ;https://ev-database.org/car/1561/29-Taycan-GTS-Sport-Turismo
7;MERCEDES;EVITO TOURER EXTRA-LONG 90 KWH;2647;72818;305;12.0;90.0;295;310;160;7;N;4;1134;Battery Electric Vehicle ;https://ev-database.org/car/1616/7-eVito-Tourer-Extra-Long-90-kWh
15;PEUGEOT;E-EXPERT COMBI STANDARD 75 KWH;5323;52830;265;14.3;68.0;257;290;130;7;N;9;1000;Battery Electric Vehicle ;https://ev-database.org/car/1607/15-e-Expert-Combi-Standard-75-kWh
30;CITROEN;E-SPACETOURER M 75 KWH;2563;62660;250;13.3;65.0;260;290;130;7;N;9;1000;Battery Electric Vehicle ;https://ev-database.org/car/1343/30-e-SpaceTourer-M-75-kWh
15;PEUGEOT;E-TRAVELLER STANDARD 75 KWH;5323;62026;265;14.3;68.0;257;290;130;7;N;9;1000;Battery Electric Vehicle ;https://ev-database.org/car/1353/15-e-Traveller-Standard-75-kWh
29;PORSCHE;TAYCAN PLUS SPORT TURISMO;636;96844;445;5.4;83.7;188;980;230;6;F;4;1134;Battery Electric Vehicle ;https://ev-database.org/car/1622/29-Taycan-Plus-Sport-Turismo
29;PORSCHE;TAYCAN 4S CROSS TURISMO;636;116000;425;4.1;83.7;197;930;240;6;F;4;1134;Battery Electric Vehicle ;https://ev-database.org/car/1437/29-Taycan-4S-Cross-Turismo
29;PORSCHE;TAYCAN SPORT TURISMO;636;90800;380;5.4;71.0;187;760;230;6;F;4;1134;Battery Electric Vehicle ;https://ev-database.org/car/1621/29-Taycan-Sport-Turismo
22;OPEL;VIVARO-E COMBI M 75 KWH;2141;53409;250;13.3;65.0;260;290;130;7;N;9;1000;Battery Electric Vehicle ;https://ev-database.org/car/1602/22-Vivaro-e-Combi-M-75-kWh
15;PEUGEOT;E-EXPERT COMBI LONG 75 KWH;5323;54766;260;14.3;68.0;262;280;130;7;N;9;1000;Battery Electric Vehicle ;https://ev-database.org/car/1608/15-e-Expert-Combi-Long-75-kWh
22;OPEL;ZAFIRA-E LIFE M 75 KWH;2141;62665;250;13.3;65.0;260;290;130;7;N;9;1000;Battery Electric Vehicle ;https://ev-database.org/car/1348/22-Zafira-e-Life-M-75-kWh
29;PORSCHE;TAYCAN TURBO CROSS TURISMO;636;159300;400;3.3;83.7;209;880;250;6;F;4;1134;Battery Electric Vehicle ;https://ev-database.org/car/1438/29-Taycan-Turbo-Cross-Turismo
21;TOYOTA;PROACE SHUTTLE L 75 KWH;342;56295;245;13.1;65.0;265;280;130;7;N;9;1000;Battery Electric Vehicle ;https://ev-database.org/car/1612/21-PROACE-Shuttle-L-75-kWh
7;MERCEDES;EVITO TOURER EXTRA-LONG 60 KWH;2647;61571;205;12.0;60.0;293;300;160;7;N;4;1134;Battery Electric Vehicle ;https://ev-database.org/car/1618/7-eVito-Tourer-Extra-Long-60-kWh
7;MERCEDES;EQV 250 LONG;2647;67818;205;12.0;60.0;293;190;160;7;N;4;1134;Battery Electric Vehicle ;https://ev-database.org/car/1542/7-EQV-250-Long
29;PORSCHE;TAYCAN 4S SPORT TURISMO;636;111500;370;4.0;71.0;192;740;250;6;F;4;1134;Battery Electric Vehicle ;https://ev-database.org/car/1623/29-Taycan-4S-Sport-Turismo
21;TOYOTA;PROACE SHUTTLE M 75 KWH;342;55095;245;13.1;65.0;265;280;130;7;N;9;1000;Battery Electric Vehicle ;https://ev-database.org/car/1611/21-PROACE-Shuttle-M-75-kWh
29;PORSCHE;TAYCAN 4S PLUS SPORT TURISMO;636;117331;430;4.0;83.7;195;950;250;6;F;4;1134;Battery Electric Vehicle ;https://ev-database.org/car/1624/29-Taycan-4S-Plus-Sport-Turismo
21;TOYOTA;PROACE VERSO M 50 KWH;342;58530;180;12.1;45.0;250;290;130;7;N;8;1000;Battery Electric Vehicle ;https://ev-database.org/car/1512/21-PROACE-Verso-M-50-kWh
30;CITROEN;E-JUMPY COMBI M 50 KWH;2563;44780;180;12.1;45.0;250;290;130;7;N;9;1000;Battery Electric Vehicle ;https://ev-database.org/car/1595/30-e-Jumpy-Combi-M-50-kWh
21;TOYOTA;PROACE VERSO L 50 KWH;342;59385;175;12.1;45.0;257;280;130;7;N;8;1000;Battery Electric Vehicle ;https://ev-database.org/car/1513/21-PROACE-Verso-L-50-kWh
15;PEUGEOT;E-TRAVELLER LONG 50 KWH;5323;54947;175;13.1;45.0;257;280;130;7;N;9;1000;Battery Electric Vehicle ;https://ev-database.org/car/1352/15-e-Traveller-Long-50-kWh
30;CITROEN;E-JUMPY COMBI XL 75 KWH;2563;55730;250;13.3;65.0;260;290;130;7;N;9;1000;Battery Electric Vehicle ;https://ev-database.org/car/1598/30-e-Jumpy-Combi-XL-75-kWh
22;OPEL;ZAFIRA-E LIFE L 50 KWH;2141;55224;175;12.1;45.0;257;280;130;7;N;9;1000;Battery Electric Vehicle ;https://ev-database.org/car/1347/22-Zafira-e-Life-L-50-kWh
7;MERCEDES;EQV 250 EXTRA-LONG;2647;68711;205;12.0;60.0;293;190;160;7;N;4;1134;Battery Electric Vehicle ;https://ev-database.org/car/1543/7-EQV-250-Extra-Long
29;PORSCHE;TAYCAN TURBO SPORT TURISMO;636;158800;405;3.2;83.7;207;890;260;6;F;4;1134;Battery Electric Vehicle ;https://ev-database.org/car/1625/29-Taycan-Turbo-Sport-Turismo
30;CITROEN;E-SPACETOURER XL 75 KWH;2563;64560;250;13.3;65.0;260;290;130;7;N;9;1000;Battery Electric Vehicle ;https://ev-database.org/car/1344/30-e-SpaceTourer-XL-75-kWh
15;PEUGEOT;E-EXPERT COMBI COMPACT 50 KWH;5323;40790;180;12.1;45.0;250;290;130;7;N;9;1000;Battery Electric Vehicle ;https://ev-database.org/car/1604/15-e-Expert-Combi-Compact-50-kWh
21;TOYOTA;PROACE SHUTTLE M 50 KWH;342;45395;175;12.1;45.0;257;280;130;7;N;9;1000;Battery Electric Vehicle ;https://ev-database.org/car/1609/21-PROACE-Shuttle-M-50-kWh
22;OPEL;VIVARO-E COMBI L 50 KWH;2141;45967;175;12.1;45.0;257;280;130;7;N;9;1000;Battery Electric Vehicle ;https://ev-database.org/car/1601/22-Vivaro-e-Combi-L-50-kWh
21;TOYOTA;PROACE SHUTTLE L 50 KWH;342;46595;175;12.1;45.0;257;280;130;7;N;9;1000;Battery Electric Vehicle ;https://ev-database.org/car/1610/21-PROACE-Shuttle-L-50-kWh
